Place,Address,Balance_BTC,Del_Week,Del_Month,Per_of_coins,First_In,Last_In,First_Out,Last_Out,Ins,Outs
68,13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp,12189,2316,,0.06388,2018-12-04 19:00:39,2022-06-22 01:12:11,,,92,
69,bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50,12017,205.88,894.28,0.06298,2021-07-25 14:18:37,2022-06-30 02:26:39,,,333,
70,3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3R,12000,,,0.06289,2021-04-27 03:19:57,2022-06-17 00:55:41,2021-04-27 09:11:48,2022-04-12 13:24:21,36,11
71,1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,11400,2350,,0.05974,2018-01-07 12:57:49,2022-06-17 00:55:41,2019-10-11 08:09:16,2021-01-09 12:48:33,65,6
72,bc1qqn4q5yv7feltnsfwzxwm3fluryqqzhhp6457h6m4ytq7mauxlxgq872p5f,11371,-4500,-3250,0.05959,2021-01-13 12:12:52,2022-06-27 12:25:44,2021-03-25 21:28:25,2022-06-27 12:25:44,66,65
73,35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6,11285,1069,1849,0.05914,2020-06-08 15:39:51,2022-06-29 15:49:41,2020-06-16 14:15:16,2022-06-27 14:32:55,527,400
74,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,10771,,,0.05645,2011-08-08 22:14:47,2022-06-17 00:55:41,,,94,
75,bc1qud9pc3ne0e94cuyvea9eg97jwe7hjqczyw0g5wgza8xnwu6c4ewspeh3qs,10500,10500,,0.05503,2022-06-20 06:34:26,2022-06-24 21:57:31,,,2,
76,bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302,10500,,,0.05503,2020-12-28 19:43:53,2022-06-17 00:55:41,,,13,
77,bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,10297,,,0.05396,2021-03-11 14:37:20,2022-06-22 23:21:21,2021-04-01 07:16:15,2021-04-01 07:16:15,7,1
78,bc1qu5mhu0nghreufhrvp8rrnuftlmukjhdarw8hxscjmwxxpf7csqnsnpy60t,10296,10296,,0.05396,2022-06-07 06:40:30,2022-06-24 21:57:31,,,3,
79,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,10009,,,0.05246,2011-05-04 02:10:49,2022-06-17 01:10:26,,,72,
80,bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,10002,,,0.05242,2021-08-14 04:37:58,2022-06-17 01:10:26,,,2,
81,bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj,10001,,,0.05241,2021-11-12 12:19:27,2022-06-17 01:10:26,2022-04-22 17:31:00,2022-04-22 17:31:00,4,2
82,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,10000,,,0.05241,2011-05-04 02:01:23,2022-06-17 01:10:26,,,43,
83,bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up,10000,,,0.05241,2021-12-31 12:48:41,2022-06-17 01:10:26,,,22,
84,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,10000,,,0.05241,2011-05-04 01:40:51,2022-06-17 01:10:26,,,54,
85,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,10000,,,0.05241,2017-10-16 23:18:28,2022-06-17 01:10:26,,,42,
86,35WHp4Hid61peyH4tuhNunwRj2gtNB41Lo,10000,5000,,0.05241,2022-05-09 10:08:09,2022-06-17 01:10:26,,,12,
87,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,10000,,,0.05241,2011-04-02 22:18:45,2022-06-17 01:10:26,,,64,
88,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,10000,,,0.05241,2011-05-04 01:14:27,2022-06-17 01:10:26,,,50,
